unique_number,id_no,url,name_en,short_description_en,date_inscribed,danger_start,danger_end,longitude,latitude,area_hectares,category,category_short,region_name_en,iso_code,states_name_en,udnp_code
553,475,,Manovo-Gounda St Floris National Park,"The importance of this park derives from its wealth of flora and fauna. Its vast savannahs are home to a wide variety of species: black rhinoceroses, elephants, cheetahs, leopards, wild dogs, red-fronted gazelles and buffalo, while various types of waterfowl are to be found in the northern floodplains.",1988,1997,2016,21.5,9,1740000,Natural,N,Africa,cf,Central African Republic,caf
173,155,,Mount Nimba Strict Nature Reserve,"Located on the borders of Guinea, Liberia and C&ocirc;te d&rsquo;Ivoire, Mount Nimba rises above the surrounding savannah. Its slopes are covered by dense forest at the foot of grassy mountain pastures. They harbour an especially rich flora and fauna, with endemic species such as the viviparous toad and chimpanzees that use stones as tools.",1981,1992,2016,-8.39097,7.60318,18000,Natural,N,Africa,ci,Côte d'Ivoire,civ
252,227,,Comoé National Park,"One of the largest protected areas in West Africa, this park is characterized by its great plant diversity. Due to the presence of the Como&eacute; river, it contains plants which are normally only found much farther south, such as shrub savannahs and patches of thick rainforest.",1983,2003,2016,-4,9,1150000,Natural,N,Africa,ci,Côte d'Ivoire,civ
103,95,,Old City of Dubrovnik,"The 'Pearl of the Adriatic', situated on the Dalmatian coast, became an important Mediterranean sea power from the 13th century onwards. Although severely damaged by an earthquake in 1667, Dubrovnik managed to preserve its beautiful Gothic, Renaissance and Baroque churches, monasteries, palaces and fountains. Damaged again in the 1990s by armed conflict, it is now the focus of a major restoration programme co-ordinated by UNESCO.",1979,1991,1998,18.09139,42.65056,96.7,Cultural,C,Europe and North America,hr,Croatia,hrv
106,98,,Plitvice Lakes National Park,"The waters flowing over the limestone and chalk have, over thousands of years, deposited travertine barriers, creating natural dams which in turn have created a series of beautiful lakes, caves and waterfalls. These geological processes continue today. The forests in the park are home to bears, wolves and many rare bird species.",1979,1992,1997,15.61444,44.87778,29482,Natural,N,Europe and North America,hr,Croatia,hrv
149,136,,Garamba National Park,"The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.",1980,1984,1992,29.25,4,500000,Natural,N,Africa,cd,Democratic Republic of the Congo,cod
149,136,,Garamba National Park,"The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.",1980,1996,2016,29.25,4,500000,Natural,N,Africa,cd,Democratic Republic of the Congo,cod
67,63,,Virunga National Park,"Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.",1979,1994,2016,29.16666667,0.916666667,800000,Natural,N,Africa,cd,Democratic Republic of the Congo,cod
150,137,,Kahuzi-Biega National Park,"A vast area of primary tropical forest dominated by two spectacular extinct volcanoes, Kahuzi and Biega, the park has a diverse and abundant fauna. One of the last groups of eastern lowland (graueri) gorillas (consisting of only some 250 individuals) lives at between 2,100 and 2,400 m above sea-level.",1980,1997,2016,28.75,-2.5,600000,Natural,N,Africa,cd,Democratic Republic of the Congo,cod
314,280,,Salonga National Park,"Salonga National Park is Africa's largest tropical rainforest reserve. Situated at the heart of the central basin of the Congo river, the park is very isolated and accessible only by water. It is the habitat of many endemic endangered species, such as the dwarf chimpanzee, the Congo peacock, the forest elephant and the African slender-snouted or 'false' crocodile.",1984,1999,2016,21,-2,3600000,Natural,N,Africa,cd,Democratic Republic of the Congo,cod
849,718,,Okapi Wildlife Reserve,"The Okapi Wildlife Reserve occupies about one-fifth of the Ituri forest in the north-east of the Democratic Republic of the Congo. The Congo river basin, of which the reserve and forest are a part, is one of the largest drainage systems in Africa. The reserve contains threatened species of primates and birds and about 5,000 of the estimated 30,000 okapi surviving in the wild. It also has some dramatic scenery, including waterfalls on the Ituri and Epulu rivers. The reserve is inhabited by traditional nomadic pygmy Mbuti and Efe hunters.",1996,1997,2016,28.5,2,1372625,Natural,N,Africa,cd,Democratic Republic of the Congo,cod
290,260,,Sangay National Park,"With its outstanding natural beauty and two active volcanoes, the park illustrates the entire spectrum of ecosystems, ranging from tropical rainforests to glaciers, with striking contrasts between the snowcapped peaks and the forests of the plains. Its isolation has encouraged the survival of indigenous species such as the mountain tapir and the Andean condor.",1983,1992,2005,-78.33333,-1.83333,271925,Natural,N,Latin America and the Caribbean,ec,Ecuador,ecu
4,1,,Galápagos Islands,"Situated in the Pacific Ocean some 1,000 km from the South American continent, these 19 islands and the surrounding marine reserve have been called a unique ‘living museum and showcase of evolution’. Located at the confluence of three ocean currents, the Galápagos are a ‘melting pot’ of marine species. Ongoing seismic and volcanic activity reflects the processes that formed the islands. These processes, together with the extreme isolation of the islands, led to the development of unusual animal life – such as the land iguana, the giant tortoise and the many types of finch – that inspired Charles Darwin’s theory of evolution by natural selection following his visit in 1835.",1978,2007,2010,-91,-0.81667,14066514,Natural,N,Latin America and the Caribbean,ec,Ecuador,ecu
96,90,,Abu Mena,"The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.",1979,2001,2016,29.66666667,30.85,182.72,Cultural,C,Arab States,eg,Egypt,egy
12,9,,Simien National Park,"Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world.",1978,1996,2016,38.06666667,13.18333333,13600,Natural,N,Africa,et,Ethiopia,eth
838,708,,Historical Monuments of Mtskheta,"The historic churches of Mtskheta, former capital of Georgia, are outstanding examples of medieval religious architecture in the Caucasus. They show the high artistic and cultural level attained by this ancient kingdom.",1994,2009,2016,44.71639,41.84389,3.85,Cultural,C,Europe and North America,ge,Georgia,geo
840,710,,Bagrati Cathedral and Gelati Monastery,"The construction of Bagrati Cathedral, named after Bagrat III, the first king of united Georgia, started at the end of the 10th century and was completed in the early years of the 11th century. Although partly destroyed by the Turks in 1691, its ruins still lie in the centre of Kutaisi. The Gelati Monastery, whose main buildings were erected between the 12th and 17th centuries, is a well-preserved complex, with wonderful mosaics and wall paintings. The cathedral and monastery represent the flowering of medieval architecture in Georgia.",1994,2010,2016,42.71639,42.26222,7.87,Cultural,C,Europe and North America,ge,Georgia,geo
1628,292,,Cologne Cathedral,"Begun in 1248, the construction of this Gothic masterpiece took place in several stages and was not completed until 1880. Over seven centuries, successive builders were inspired by the same faith and a spirit of absolute fidelity to the original plans. Apart from its exceptional intrinsic value and the artistic masterpieces it contains, Cologne Cathedral testifies to the enduring strength of European Christianity.",1996,2004,2006,6.957222222,50.94111111,,Cultural,C,Europe and North America,de,Germany,deu
173,155,,Mount Nimba Strict Nature Reserve,"Located on the borders of Guinea, Liberia and C&ocirc;te d&rsquo;Ivoire, Mount Nimba rises above the surrounding savannah. Its slopes are covered by dense forest at the foot of grassy mountain pastures. They harbour an especially rich flora and fauna, with endemic species such as the viviparous toad and chimpanzees that use stones as tools.",1981,1992,2016,-8.39097,7.60318,18000,Natural,N,Africa,ci,Guinea,civ
217,196,,Río Plátano Biosphere Reserve,"Located on the watershed of the R&iacute;o Pl&aacute;tano, the reserve is one of the few remains of a tropical rainforest in Central America and has an abundant and varied plant and wildlife. In its mountainous landscape sloping down to the Caribbean coast, over 2,000 indigenous people have preserved their traditional way of life.",1982,1996,2007,-84.675,15.74444444,350000,Natural,N,Latin America and the Caribbean,hn,Honduras,hnd
217,196,,Río Plátano Biosphere Reserve,"Located on the watershed of the R&iacute;o Pl&aacute;tano, the reserve is one of the few remains of a tropical rainforest in Central America and has an abundant and varied plant and wildlife. In its mountainous landscape sloping down to the Caribbean coast, over 2,000 indigenous people have preserved their traditional way of life.",1982,2011,2016,-84.675,15.74444444,350000,Natural,N,Latin America and the Caribbean,hn,Honduras,hnd
385,338,,Manas Wildlife Sanctuary,"On a gentle slope in the foothills of the Himalayas, where wooded hills give way to alluvial grasslands and tropical forests, the Manas sanctuary is home to a great variety of wildlife, including many endangered species, such as the tiger, pygmy hog, Indian rhinoceros and Indian elephant.",1985,1992,2011,91.03055556,26.725,39100,Natural,N,Asia and the Pacific,in,India,ind
1932,241,,Group of Monuments at Hampi,"The austere, grandiose site of Hampi was the last capital of the last great Hindu Kingdom of Vijayanagar. Its fabulously rich princes built Dravidian temples and palaces which won the admiration of travellers between the 14th and 16th centuries. Conquered by the Deccan Muslim confederacy in 1565, the city was pillaged over a period of six months before being abandoned.",1986,1999,2006,76.47167,15.31444,4187.24,Cultural,C,Asia and the Pacific,in,India,ind
1310,1130,,Ashur (Qal'at Sherqat),"The ancient city of Ashur is located on the Tigris River in northern Mesopotamia in a specific geo-ecological zone, at the borderline between rain-fed and irrigation agriculture. The city dates back to the 3rd millennium BC. From the 14th to the 9th centuries BC it was the first capital of the Assyrian Empire, a city-state and trading platform of international importance. It also served as the religious capital of the Assyrians, associated with the god Ashur. The city was destroyed by the Babylonians, but revived during the Parthian period in the 1st and 2nd centuries AD.",2003,2003,2016,43.25972,35.45889,70,Cultural,C,Arab States,iq,Iraq,irq
1456,276,,Samarra Archaeological City,"Samarra Archaeological City is the site of a powerful Islamic capital city that ruled over the provinces of the Abbasid Empire extending from Tunisia to Central Asia for a century. Located on both sides of the River Tigris 130 km north of Baghdad, the length of the site from north to south is 41.5 km; its width varying from 8 km to 4 km. It testifies to the architectural and artistic innovations that developed there and spread to the other regions of the Islamic world and beyond. The 9th-century Great Mosque and its spiral minaret are among the numerous remarkable architectural monuments of the site, 80% of which remain to be excavated.",2007,2007,2016,43.82354306,34.34098944,15058,Cultural,C,Arab States,iq,Iraq,irq
165,148,,Old City of Jerusalem and its Walls,"As a holy city for Judaism, Christianity and Islam, Jerusalem has always been of great symbolic importance. Among its 220 historic monuments, the Dome of the Rock stands out: built in the 7th century, it is decorated with beautiful geometric and floral motifs. It is recognized by all three religions as the site of Abraham's sacrifice. The Wailing Wall delimits the quarters of the different religious communities, while the Resurrection rotunda in the Church of the Holy Sepulchre houses Christ's tomb.",1981,1982,2016,35.21666667,31.78333333,0,Cultural,C,Arab States,,Jerusalem,
131,119,,Timbuktu,"Home of the prestigious Koranic Sankore University and other <em>madrasas</em>, Timbuktu was an intellectual and spiritual capital and a centre for the propagation of Islam throughout Africa in the 15th and 16th centuries. Its three great mosques, Djingareyber, Sankore and Sidi Yahia, recall Timbuktu's golden age. Although continuously restored, these monuments are today under threat from desertification.",1988,1990,2005,-2.999444444,16.77333333,0,Cultural,C,Africa,ml,Mali,mli
131,119,,Timbuktu,"Home of the prestigious Koranic Sankore University and other <em>madrasas</em>, Timbuktu was an intellectual and spiritual capital and a centre for the propagation of Islam throughout Africa in the 15th and 16th centuries. Its three great mosques, Djingareyber, Sankore and Sidi Yahia, recall Timbuktu's golden age. Although continuously restored, these monuments are today under threat from desertification.",1988,2012,2016,-2.999444444,16.77333333,0,Cultural,C,Africa,ml,Mali,mli
1320,1139,,Tomb of Askia,"The dramatic 17-m pyramidal structure of the Tomb of Askia was built by Askia Mohamed, the Emperor of Songhai, in 1495 in his capital Gao. It bears testimony to the power and riches of the empire that flourished in the 15th and 16th centuries through its control of the trans-Saharan trade, notably in salt and gold. It is also a fine example of the monumental mud-building traditions of the West African Sahel. The complex, including the pyramidal tomb, two flat-roofed mosque buildings, the mosque cemetery and the open-air assembly ground, was built when Gao became the capital of the Songhai Empire and after Askia Mohamed had returned from Mecca and made Islam the official religion of the empire.",2004,2012,2016,-0.04456,16.2898,4.24,Cultural,C,Africa,ml,Mali,mli
137,125,,Natural and Culturo-Historical Region of Kotor,"In the Middle Ages, this natural harbour on the Adriatic coast in Montenegro was an important artistic and commercial centre with its own famous schools of masonry and iconography. A large number of the monuments (including four Romanesque churches and the town walls) were seriously damaged by the 1979 earthquake but the town has been restored, largely with UNESCO’s help.",1979,1979,2003,18.7,42.48333,12000,Cultural,C,Europe and North America,me,Montenegro,mne
1448,121,,Kathmandu Valley ,"The cultural heritage of the Kathmandu Valley is illustrated by seven groups of monuments and buildings which display the full range of historic and artistic achievements for which the Kathmandu Valley is world famous. The seven include the Durbar Squares of Hanuman Dhoka (Kathmandu), Patan and Bhaktapur, the Buddhist stupas of Swayambhu and Bauddhanath and the Hindu temples of Pashupati and Changu Narayan.",1979,2003,2007,85.30858,27.70395,167.37,Cultural,C,Asia and the Pacific,np,Nepal,npl
678,573,,Air and Ténéré Natural Reserves,"This is the largest protected area in Africa, covering some 7.7 million ha, though the area considered a protected sanctuary constitutes only one-sixth of the total area. It includes the volcanic rock mass of the A&iuml;r, a small Sahelian pocket, isolated as regards its climate and flora and fauna, and situated in the Saharan desert of T&eacute;n&eacute;r&eacute;. The reserves boast an outstanding variety of landscapes, plant species and wild animals.",1991,1992,2016,9,18,7736000,Natural,N,Africa,ne,Niger,ner
502,433,,Bahla Fort,"The oasis of Bahla owes its prosperity to the Banu Nebhan, the dominant tribe in the area from the 12th to the end of the 15th century. The ruins of the immense fort, with its walls and towers of unbaked brick and its stone foundations, is a remarkable example of this type of fortification and attests to the power of the Banu Nebhan.",1987,1988,2004,57.30111,22.96417,0,Cultural,C,Arab States,om,Oman,omn
189,171,,Fort and Shalamar Gardens in Lahore,"These are two masterpieces from the time of the brilliant Mughal civilization, which reached its height during the reign of the Emperor Shah Jahan. The fort contains marble palaces and mosques decorated with mosaics and gilt. The elegance of these splendid gardens, built near the city of Lahore on three terraces with lodges, waterfalls and large ornamental ponds, is unequalled.",1981,2000,2012,74.30972222,31.59027778,0,Cultural,C,Asia and the Pacific,pk,Pakistan,pak
2012,1492,,"Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir","This site is located a few kilometres south-west of Jerusalem, in the Central Highlands between Nablus and Hebron. The Battir hill landscape comprises a series of farmed valleys, known as <em>widian</em>, with characteristic stone terraces, some of which are irrigated for market garden production, while others are dry and planted with grapevines and olive trees. The development of terrace farming in such a mountainous region is supported by a network of irrigation channels fed by underground sources. A traditional system of distribution is then used to share the water collected through this network between families from the nearby village of Battir.",2014,2014,2016,35.13055556,31.71972222,348.83,Cultural,C,Arab States,ps,Palestine,pal
148,135,,Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,"Magnificent examples of 17th- and 18th-century military architecture, these Panamanian forts on the Caribbean coast form part of the defence system built by the Spanish Crown to protect transatlantic trade.",1980,2012,2016,-79.65583333,9.553888889,0,Cultural,C,Latin America and the Caribbean,pa,Panama,pan
419,366,,Chan Chan Archaeological Zone,"The Chimu Kingdom, with Chan Chan as its capital, reached its apogee in the 15th century, not long before falling to the Incas. The planning of this huge city, the largest in pre-Columbian America, reflects a strict political and social strategy, marked by the city's division into nine 'citadels' or 'palaces' forming autonomous units.",1986,1986,2016,-79.08333,-8.1,1414.57,Cultural,C,Latin America and the Caribbean,pe,Peru,per
853,722,,Rice Terraces of the Philippine Cordilleras,"For 2,000 years, the high rice fields of the Ifugao have followed the contours of the mountains. The fruit of knowledge handed down from one generation to the next, and the expression of sacred traditions and a delicate social balance, they have helped to create a landscape of great beauty that expresses the harmony between humankind and the environment.",1995,2001,2012,121.13667,16.93389,0,Cultural,C,Asia and the Pacific,ph,Philippines,phl
28,25,,Djoudj National Bird Sanctuary,"Situated in the Senegal River delta, the Djoudj Sanctuary is a wetland of 16,000 ha, comprising a large lake surrounded by streams, ponds and backwaters. It forms a living but fragile sanctuary for some 1.5 million birds, such as the white pelican, the purple heron, the African spoonbill, the great egret and the cormorant.",1981,1984,1988,-16.16667,16.5,16000,Natural,N,Africa,sn,Senegal,sen
28,25,,Djoudj National Bird Sanctuary,"Situated in the Senegal River delta, the Djoudj Sanctuary is a wetland of 16,000 ha, comprising a large lake surrounded by streams, ponds and backwaters. It forms a living but fragile sanctuary for some 1.5 million birds, such as the white pelican, the purple heron, the African spoonbill, the great egret and the cormorant.",1981,2000,2006,-16.16667,16.5,16000,Natural,N,Africa,sn,Senegal,sen
171,153,,Niokolo-Koba National Park,"Located in a well-watered area along the banks of the Gambia river, the gallery forests and savannahs of Niokolo-Koba National Park have a very rich fauna, among them Derby elands (largest of the antelopes), chimpanzees, lions, leopards and a large population of elephants, as well as many birds, reptiles and amphibians.",1981,2007,2016,-12.71667,13.06667,913000,Natural,N,Africa,sn,Senegal,sen
856,724,,Medieval Monuments in Kosovo,"The four edifices of the site reflect the high points of the Byzantine-Romanesque ecclesiastical culture, with its distinct style of wall painting, which developed in the Balkans between the 13th and 17th centuries. The De_ani Monastery was built in the mid-14th century for the Serbian king Stefan De_anski and is also his mausoleum. The Patriarchate of Pe_ Monastery is a group of four domed churches featuring series of wall paintings. The 13th-century frescoes of the Church of Holy Apostles are painted in a unique, monumental style. Early 14th-century frescoes in the church of the Holy Virgin of Ljevisa represent the appearance of the new so-called Palaiologian Renaissance style, combining the influences of the eastern Orthodox Byzantine and the Western Romanesque traditions. The style played a decisive role in subsequent Balkan art.",2004,2006,2016,20.26555556,42.66111111,2.8802,Cultural,C,Europe and North America,rs,Serbia,srb
1005,854,,East Rennell,"East Rennell makes up the southern third of Rennell Island, the southernmost island in the Solomon Island group in the western Pacific. Rennell, 86 km long x 15 km wide, is the largest raised coral atoll in the world. The site includes approximately 37,000 ha and a marine area extending 3 nautical miles to sea. A major feature of the island is Lake Tegano, which was the former lagoon on the atoll. The lake, the largest in the insular Pacific (15,500 ha), is brackish and contains many rugged limestone islands and endemic species. Rennell is mostly covered with dense forest, with a canopy averaging 20 m in height. Combined with the strong climatic effects of frequent cyclones, the site is a true natural laboratory for scientific study. The site is under customary land ownership and management.",1998,2013,2016,160.33333,-11.68333,37000,Natural,N,Asia and the Pacific,sb,Solomon Islands,slb
1761,1348,,Ancient Villages of Northern Syria,"Some 40 villages grouped in eight parks situated in north-western Syria provide remarkable testimony to rural life in late Antiquity and during the Byzantine period. Abandoned in the 8th to 10th centuries, the villages, which date from the 1st to 7th centuries, feature a remarkably well preserved landscape and the architectural remains of dwellings, pagan temples, churches, cisterns, bathhouses etc. The relict cultural landscape of the villages also constitutes an important illustration of the transition from the ancient pagan world of the Roman Empire to Byzantine Christianity. Vestiges illustrating hydraulic techniques, protective walls and Roman agricultural plot plans furthermore offer testimony to the inhabitants' mastery of agricultural production.",2011,2013,2016,36.84416667,36.33416667,12290,Cultural,C,Arab States,sy,Syrian Arab Republic,syr
11,8,,Ichkeul National Park,"The Ichkeul lake and wetland are a major stopover point for hundreds of thousands of migrating birds, such as ducks, geese, storks and pink flamingoes, who come to feed and nest there. Ichkeul is the last remaining lake in a chain that once extended across North Africa.",1980,1996,2006,9.67472,37.16361,12600,Natural,N,Arab States,tn,Tunisia,tun
808,684,,Rwenzori Mountains National Park,"The Rwenzori Mountains National Park covers nearly 100,000 ha in western Uganda and comprises the main part of the Rwenzori mountain chain, which includes Africa's third highest peak (Mount Margherita: 5,109 m). The region's glaciers, waterfalls and lakes make it one of Africa's most beautiful alpine areas. The park has many natural habitats of endangered species and a rich and unusual flora comprising, among other species, the giant heather.",1994,1999,2004,29.92416667,0.223611111,99600,Natural,N,Africa,ug,Uganda,uga
1192,1022,,Tombs of Buganda Kings at Kasubi,"The Tombs of Buganda Kings at Kasubi constitute a site embracing almost 30 ha of hillside within Kampala district. Most of the site is agricultural, farmed by traditional methods. At its core on the hilltop is the former palace of the Kabakas of Buganda, built in 1882 and converted into the royal burial ground in 1884. Four royal tombs now lie within the Muzibu Azaala Mpanga, the main building, which is circular and surmounted by a dome. It is a major example of an architectural achievement in organic materials, principally wood, thatch, reed, wattle and daub. The site's main significance lies, however, in its intangible values of belief, spirituality, continuity and identity.",2001,2010,2016,32.55138889,0.348611111,26.8,Cultural,C,Africa,ug,Uganda,uga
1331,1150,,Liverpool – Maritime Mercantile City,"Six areas in the historic centre and docklands of the maritime mercantile City of Liverpool bear witness to the development of one of the world&rsquo;s major trading centres in the 18th and 19th centuries. Liverpool played an important role in the growth of the British Empire and became the major port for the mass movement of people, e.g. slaves and emigrants from northern Europe to America. Liverpool was a pioneer in the development of modern dock technology, transport systems and port management. The listed sites feature a great number of significant commercial, civic and public buildings, including St George&rsquo;s Plateau.",2004,2012,2016,-2.994444444,53.40666667,136,Cultural,C,Europe and North America,gb,United Kingdom of Great Britain and Northern Ireland,gbr
1639,39,,Ngorongoro Conservation Area,"The Ngorongoro Conservation Area spans vast expanses of highland plains, savanna, savanna woodlands and forests. Established in 1959 as a multiple land use area, with wildlife coexisting with semi-nomadic Maasai pastoralists practicing traditional livestock grazing, it includes the spectacular Ngorongoro Crater, the world&rsquo;s largest caldera. The property has global importance for biodiversity conservation due to the presence of globally threatened species, the density of wildlife inhabiting the area, and the annual migration of wildebeest, zebra, gazelles and other animals into the northern plains. Extensive archaeological research has also yielded a long sequence of evidence of human evolution and human-environment dynamics, including early hominid footprints dating back 3.6 million years.",1979,1984,1989,35.54083,-3.18722,809440,Mixed,C/N,Africa,tz,United Republic of Tanzania,tza
159,144,,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,"The remains of two great East African ports admired by early European explorers are situated on two small islands near the coast. From the 13th to the 16th century, the merchants of Kilwa dealt in gold, silver, pearls, perfumes, Arabian crockery, Persian earthenware and Chinese porcelain; much of the trade in the Indian Ocean thus passed through their hands.",1981,2004,2014,39.52278,-8.95778,0,Cultural,C,Africa,tz,United Republic of Tanzania,tza
82,76,,Everglades National Park,"This site at the southern tip of Florida has been called 'a river of grass flowing imperceptibly from the hinterland into the sea'. The exceptional variety of its water habitats has made it a sanctuary for a large number of birds and reptiles, as well as for threatened species such as the manatee.",1979,1993,2007,-80.99638889,25.55444444,567017,Natural,N,Europe and North America,us,United States of America,usa
82,76,,Everglades National Park,"This site at the southern tip of Florida has been called 'a river of grass flowing imperceptibly from the hinterland into the sea'. The exceptional variety of its water habitats has made it a sanctuary for a large number of birds and reptiles, as well as for threatened species such as the manatee.",1979,2010,2016,-80.99638889,25.55444444,567017,Natural,N,Europe and North America,us,United States of America,usa
