unique_number,id_no,rev_bis,url,index,name_en,name_fr,short_description_en,short_description_fr,justification_en,justification_fr,date_inscribed,secondary_dates,danger_start,danger_end,longitude,latitude,area_hectares,category,category_short,states_name_fr,region_name_en,name_fr,iso_code,states_name_en,,udnp_code
252,227,,,11,Comoé National Park,Parc national de la Comoé,"One of the largest protected areas in West Africa, this park is characterized by its great plant diversity. Due to the presence of the Como&eacute; river, it contains plants which are normally only found much farther south, such as shrub savannahs and patches of thick rainforest.","<p>Ce parc, qui est l'une des zones prot&eacute;g&eacute;es les plus vastes de l'Afrique de l'Ouest, se caract&eacute;rise par la tr&egrave;s grande diversit&eacute; de sa v&eacute;g&eacute;tation. La Como&eacute; qui coule dans le parc explique que l'on y trouve des associations de plantes que l'on ne rencontre normalement que beaucoup plus au sud, comme les savanes arbustives et des &icirc;lots de for&ecirc;t dense humide.</p>",,,1983,,2003,2016,-4,9,1150000,Natural,N,"Côte d'Ivoire,Côte d'Ivoire",Africa,Afrique,ci,Côte d'Ivoire,,civ
103,95,bis,,12,Old City of Dubrovnik,Vieille ville de Dubrovnik,"The 'Pearl of the Adriatic', situated on the Dalmatian coast, became an important Mediterranean sea power from the 13th century onwards. Although severely damaged by an earthquake in 1667, Dubrovnik managed to preserve its beautiful Gothic, Renaissance and Baroque churches, monasteries, palaces and fountains. Damaged again in the 1990s by armed conflict, it is now the focus of a major restoration programme co-ordinated by UNESCO.","<p>Sur une presqu'île de la côte dalmate, la « perle de l'Adriatique » est devenue une importante puissance maritime méditerranéenne à partir du XIII<sup>e</sup> siècle. Bien que sévèrement endommagée par un tremblement de terre en 1667, Dubrovnik a pu préserver ses beaux monuments, églises, monastères, palais et fontaines de style gothique, Renaissance et baroque. De nouveau endommagée dans les années 1990 lors du conflit armé dans la région, la ville fait l'objet d'un grand programme de restauration coordonné par l'UNESCO.</p>",,,1979,1994,1991,1998,18.09139,42.65056,96.7,Cultural,C,Croatie,Europe and North America,Europe et Amérique du nord,hr,Croatia,,hrv
106,98,Bis,,13,Plitvice Lakes National Park,Parc national Plitvice,"The waters flowing over the limestone and chalk have, over thousands of years, deposited travertine barriers, creating natural dams which in turn have created a series of beautiful lakes, caves and waterfalls. These geological processes continue today. The forests in the park are home to bears, wolves and many rare bird species.","<p>Les eaux, qui s'écoulent à travers les roches dolomitiques et calcaires, ont déposé au cours des millénaires des barrières de travertin, formant des barrages naturels qui sont à l'origine d'une série de lacs, de cavernes et de chutes d'eau de toute beauté. Ces processus géologiques se poursuivent de nos jours. Les forêts du parc abritent des ours, des loups et de nombreuses espèces d'oiseaux rares.</p>",,,1979,2000,1992,1997,15.61444,44.87778,29482,Natural,N,Croatie,Europe and North America,Europe et Amérique du nord,hr,Croatia,,hrv
149,136,,,14,Garamba National Park,Parc national de la Garamba,"The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.","<p>Comprenant d'immenses savanes, herbeuses ou bois&eacute;es, entrecoup&eacute;es de for&ecirc;ts-galeries le long des rivi&egrave;res et de d&eacute;pressions mar&eacute;cageuses, le parc abrite quatre des plus grands mammif&egrave;res : l'&eacute;l&eacute;phant, la girafe, l'hippopotame et surtout le rhinoc&eacute;ros blanc, inoffensif et beaucoup plus gros que le rhinoc&eacute;ros noir, dont il ne subsiste qu'une trentaine d'individus.</p>",,,1980,,1984,1992,29.25,4,500000,Natural,N,République démocratique du Congo,Africa,Afrique,cd,Democratic Republic of the Congo,,cod
149,136,,,14,Garamba National Park,Parc national de la Garamba,"The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.","<p>Comprenant d'immenses savanes, herbeuses ou bois&eacute;es, entrecoup&eacute;es de for&ecirc;ts-galeries le long des rivi&egrave;res et de d&eacute;pressions mar&eacute;cageuses, le parc abrite quatre des plus grands mammif&egrave;res : l'&eacute;l&eacute;phant, la girafe, l'hippopotame et surtout le rhinoc&eacute;ros blanc, inoffensif et beaucoup plus gros que le rhinoc&eacute;ros noir, dont il ne subsiste qu'une trentaine d'individus.</p>",,,1980,,1996,2016,29.25,4,500000,Natural,N,République démocratique du Congo,Africa,Afrique,cd,Democratic Republic of the Congo,,cod
67,63,,,15,Virunga National Park,Parc national des Virunga,"Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.","<p>S'&eacute;tendant sur 790 000 ha, le parc des Virunga pr&eacute;sente une diversit&eacute; d'habitats incomparable, allant des mar&eacute;cages et des steppes jusqu'aux neiges &eacute;ternelles du Rwenzori, &agrave; plus de 5 000 m d'altitude, en passant par les plaines de lave et les savanes sur les pentes des volcans. Quelque 20 000 hippopotames fr&eacute;quentent ses rivi&egrave;res, le gorille de montagne y trouve refuge, et des oiseaux en provenance de Sib&eacute;rie viennent y passer l'hiver.</p>",,,1979,,1994,2016,29.16666667,0.916666667,800000,Natural,N,République démocratique du Congo,Africa,Afrique,cd,Democratic Republic of the Congo,,cod
150,137,,,16,Kahuzi-Biega National Park,Parc national de Kahuzi-Biega,"A vast area of primary tropical forest dominated by two spectacular extinct volcanoes, Kahuzi and Biega, the park has a diverse and abundant fauna. One of the last groups of eastern lowland (graueri) gorillas (consisting of only some 250 individuals) lives at between 2,100 and 2,400 m above sea-level.","<p>Vaste &eacute;tendue de for&ecirc;t tropicale primaire, le parc est domin&eacute; par deux volcans &eacute;teints spectaculaires, le Kahuzi et le Biega. Il est peupl&eacute; d'une faune abondante et vari&eacute;e. Situ&eacute; entre 2 100 et 2 400 m d'altitude, il y vit l'une des derni&egrave;res populations de gorilles des plaines de l'est (graueri), qui compte environ 250 individus seulement.</p>",,,1980,,1997,2016,28.75,-2.5,600000,Natural,N,République démocratique du Congo,Africa,Afrique,cd,Democratic Republic of the Congo,,cod
849,718,,,17,Okapi Wildlife Reserve,Réserve de faune à okapis,"The Okapi Wildlife Reserve occupies about one-fifth of the Ituri forest in the north-east of the Democratic Republic of the Congo. The Congo river basin, of which the reserve and forest are a part, is one of the largest drainage systems in Africa. The reserve contains threatened species of primates and birds and about 5,000 of the estimated 30,000 okapi surviving in the wild. It also has some dramatic scenery, including waterfalls on the Ituri and Epulu rivers. The reserve is inhabited by traditional nomadic pygmy Mbuti and Efe hunters.","<p>La r&eacute;serve de faune &agrave; okapis occupe environ un cinqui&egrave;me de la for&ecirc;t d'Ituri au nord-est du pays. Le bassin du fleuve Congo, dont la r&eacute;serve et la for&ecirc;t font partie, est un des plus grands syst&egrave;mes de drainage d'Afrique. La r&eacute;serve de faune abrite des esp&egrave;ces menac&eacute;es de primates et d'oiseaux et environ 5000 okapis, sur les 30 000 vivant &agrave; l'&eacute;tat sauvage. La r&eacute;serve poss&egrave;de &eacute;galement des sites panoramiques exceptionnels, dont des chutes sur l'Ituri et l'Epulu. Elle est habit&eacute;e par des populations nomades traditionnelles de Pygm&eacute;es Mbuti et de chasseurs Efe.</p>","<p>The Committee inscribed the property as one of the most important sites for conservation, including the rare Okapi and rich floral diversity, under natural <em>criterion (x)</em>. The Committee expressed its hope that the activities outlined in the new management plan would ensure the integrity of the site. Considering the civil unrest in the country, the question of the long-term security of the site was raised.</p>","<p>Le Comit&eacute; a inscrit le bien sur la base du crit&egrave;re (x), consid&eacute;rant qu'il constituait l'un des sites les plus importants pour la conservation, de par les rares okapis qu'il abrite, et du fait de la richesse de sa flore. Le Comit&eacute; a exprim&eacute; l'espoir que les activit&eacute;s pr&eacute;sent&eacute;es dans le nouveau plan de gestion permettraient de garantir l'int&eacute;grit&eacute; du site. Consid&eacute;rant les troubles civils dans le pays, la question de la s&eacute;curit&eacute; &agrave; long terme du site a &eacute;t&eacute; soulev&eacute;e.</p>",1996,,1997,2016,28.5,2,1372625,Natural,N,République démocratique du Congo,Africa,Afrique,cd,Democratic Republic of the Congo,,cod
290,260,,,18,Sangay National Park,Parc national Sangay,"With its outstanding natural beauty and two active volcanoes, the park illustrates the entire spectrum of ecosystems, ranging from tropical rainforests to glaciers, with striking contrasts between the snowcapped peaks and the forests of the plains. Its isolation has encouraged the survival of indigenous species such as the mountain tapir and the Andean condor.","<p>D'une beaut&eacute; naturelle exceptionnelle avec ses deux volcans en activit&eacute;, ce parc pr&eacute;sente toute la gamme verticale des &eacute;cosyst&egrave;mes, depuis la for&ecirc;t tropicale humide jusqu'aux glaciers, avec des contrastes saisissants entre les sommets enneig&eacute;s et les for&ecirc;ts des plaines. Son isolement prot&egrave;ge les esp&egrave;ces menac&eacute;es qui s'y trouvent, comme le tapir de montagne et le condor des Andes.</p>",,,1983,,1992,2005,-78.33333,-1.83333,271925,Natural,N,"Équateur,Équateur",Latin America and the Caribbean,Amérique latine et Caraïbes,ec,Ecuador,,ecu
4,1,Bis,,19,Galápagos Islands,Îles Galápagos,"Situated in the Pacific Ocean some 1,000 km from the South American continent, these 19 islands and the surrounding marine reserve have been called a unique ‘living museum and showcase of evolution’. Located at the confluence of three ocean currents, the Galápagos are a ‘melting pot’ of marine species. Ongoing seismic and volcanic activity reflects the processes that formed the islands. These processes, together with the extreme isolation of the islands, led to the development of unusual animal life – such as the land iguana, the giant tortoise and the many types of finch – that inspired Charles Darwin’s theory of evolution by natural selection following his visit in 1835.","<p>Situées dans l’océan Pacifique, à environ 1000 km du continent sud-américain, ces dix-neuf îles et la réserve marine qui les entoure constituent un musée et un laboratoire vivants de l’évolution uniques au monde. Au confluent de trois courants océaniques, les Galápagos sont un creuset d’espèces marines. L’activité sismique et le volcanisme toujours en activité illustrent les processus qui ont formé ces îles. Ces processus, ainsi que l’isolement extrême de ces îles, ont entraîné le développement d’une faune originale - notamment l’iguane terrestre, la tortue géante et de nombreuses espèces de pinsons qui inspira à Charles Darwin sa théorie de l’évolution par la sélection naturelle à la suite de sa visite en 1835.</p>",,,1978,2001,2007,2010,-91,-0.81667,14066514,Natural,N,"Équateur,Équateur",Latin America and the Caribbean,Amérique latine et Caraïbes,ec,Ecuador,,ecu
96,90,,,20,Abu Mena,Abou Mena,"The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.","<p>Ville sainte pal&eacute;ochr&eacute;tienne, Abou Mena, b&acirc;tie sur la tombe du martyr M&eacute;nas d'Alexandrie, mort en 296, a conserv&eacute; son &eacute;glise, son baptist&egrave;re, ses basiliques, ses &eacute;tablissements publics, ses rues, ses monast&egrave;res, ses maisons et ses ateliers.</p>",,,1979,,2001,2016,29.66666667,30.85,182.72,Cultural,C,Égypte,Arab States,États arabes,eg,Egypt,,egy
12,9,,,21,Simien National Park,Parc national du Simien,"Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world.","<p>Une &eacute;rosion massive au cours des ans a form&eacute; sur le plateau &eacute;thiopien un des paysages les plus spectaculaires du monde, avec des pics, des vall&eacute;es, et des pr&eacute;cipices atteignant jusqu'&agrave; 1 500 m de profondeur. Le parc est le refuge d'animaux extr&ecirc;mement rares, comme le babouin <em>gelada</em>, le renard du Simien ou <em>Walia ibex</em>, sorte de ch&egrave;vre qu'on ne trouve nulle part ailleurs.</p>",,,1978,,1996,2016,38.06666667,13.18333333,13600,Natural,N,Éthiopie,Africa,Afrique,et,Ethiopia,,eth
838,708,,,22,Historical Monuments of Mtskheta,Monuments historiques de Mtskheta,"The historic churches of Mtskheta, former capital of Georgia, are outstanding examples of medieval religious architecture in the Caucasus. They show the high artistic and cultural level attained by this ancient kingdom.","<p>Les &eacute;glises historiques de Mtskheta, ancienne capitale du royaume de G&eacute;orgie, sont des exemples exceptionnels de l'architecture religieuse du Moyen &Acirc;ge dans la r&eacute;gion du Caucase. Elles t&eacute;moignent du haut niveau artistique et culturel qu'avait atteint cet ancien royaume.</p>",,,1994,,2009,2016,44.71639,41.84389,3.85,Cultural,C,Géorgie,Europe and North America,Europe et Amérique du nord,ge,Georgia,,geo
